id;question;difficulty_level;correct_answer;answer2;answer3;answer4;topic_id;topic_name
1951;"Determine the image of the function $f$ defined by
\[
f(x) = \log(\sin x).
\]";2;$(-\infty,0]$;$(-\infty,0)$;$(-\infty,1]$;$(-\infty,1)$;3;Real Functions of a Single Variable
1952;"Find  the points of local extremum for the function
$f(x,y,z)=\displaystyle{\dfrac{z^2}{9y}+\dfrac{6x^2}{z}+\dfrac{4}{x}+y}.$";5;"$\left(-1,-1,-3\right)$ is the point of maximum and
$\left(1,1,3\right)$ is the point of minimum.";"$\left(-1,1,-3\right)$ is the point of maximum and
$\left(1,-1,3\right)$ is the point of minimum.";"$\left(-1,-1,-3\right)$ is the point of minimum and
$\left(1,1,3\right)$ is the point of maximum.";"$\left(-1,1,-3\right)$ is the point of minimum and
$\left(1,-1,3\right)$ is the point of maximum.";12;Optimization
1953;"Let $f$ be the function defined by
\[
f(x) = \log(\tan x).
\]
Which of these statements is true?";3;The image of $f$ is $\mathbb{R}$;$f$ is injective;$f$ is monotone;The domain of $f$ is an interval;3;Real Functions of a Single Variable
1954;"Find  the stationary points and the points of local extremum for the function
$f(x,y,z)=\displaystyle{xyz+2(x^2+y^2+z^2)-5(x+y+z)+13}.$";5;$\left(1,1,1\right)$, $\left(-5,-5,-5\right)$, $\left(-\dfrac{11}{4}, 4, 4\right)$, $\left(4,-\dfrac{11}{4}, 4\right)$, $\left(4,4,-\dfrac{11}{4}\right)$ are the stationary points and $\left(1,1,1\right)$ is a minimizer.;$\left(1,1,1\right)$, $\left(-5,-5,-5\right)$, $\left(-\dfrac{11}{4}, 4, 4\right)$, $\left(4,-\dfrac{11}{4}, 4\right)$, $\left(4,4,-\dfrac{11}{4}\right)$ are the stationary points and $\left(1,1,1\right)$ is a maximizer.;$\left(1,1,1\right)$, $\left(-5,-5,-5\right)$, $\left(-\dfrac{11}{4}, 4, 4\right)$, $\left(4,-\dfrac{11}{4}, 4\right)$, $\left(4,4,-\dfrac{11}{4}\right)$ are the stationary points and $\left(1,1,1\right)$ is maximizer and $\left(-5,-5,-5\right)$ is a minimizer.;$\left(1,1,1\right)$, $\left(-5,-5,-5\right)$, $\left(-\dfrac{11}{4}, 4, 4\right)$, $\left(4,-\dfrac{11}{4}, 4\right)$, $\left(4,4,-\dfrac{11}{4}\right)$ are the stationary points. The maximizers  are $\left(1,1,1\right)$, $\left(-5,-5,-5\right)$ and the minimizers are $\left(-\dfrac{11}{4}, 4, 4\right)$, $\left(4,-\dfrac{11}{4}, 4\right)$, $\left(4,4,-\dfrac{11}{4}\right)$.;12;Optimization
1955;Determine which of the functions below is monotone.;2;$f(x) = |2^x|$;$f(x) = 2^{|x|}$;$f(x) = x^2$;$f(x) = |x|^3$;3;Real Functions of a Single Variable
1956;"Find  the stationary points and the points of local extremum for the function
$f(x,y,z)=\displaystyle{6xyz+x^3+y^3+z^3+2(xy+yz+zx)}.$
";5;$\left(0,0,0\right)$, $\left(0,-\dfrac{2}{3}, -\dfrac{2}{3}\right)$, $\left(-\dfrac{2}{3}, 0,-\dfrac{2}{3}\right)$, $\left(-\dfrac{2}{3}, -\dfrac{2}{3},0\right)$, $\left(-\dfrac{2}{9}, -\dfrac{2}{9}, \dfrac{4}{9}\right)$, $\left(-\dfrac{2}{9}, \dfrac{4}{9},-\dfrac{2}{9}\right)$, $\left(\dfrac{4}{9}, -\dfrac{2}{9},-\dfrac{2}{9}\right)$, $\left(-\dfrac{4}{9}, -\dfrac{4}{9},-\dfrac{4}{9}\right)$ are the stationary points and $\left(-\dfrac{4}{9}, -\dfrac{4}{9},-\dfrac{4}{9}\right)$ is a maximizer.;$\left(0,0,0\right)$, $\left(0,-\dfrac{2}{3}, -\dfrac{2}{3}\right)$, $\left(-\dfrac{2}{3}, 0,-\dfrac{2}{3}\right)$, $\left(-\dfrac{2}{3}, -\dfrac{2}{3},0\right)$, $\left(-\dfrac{2}{9}, -\dfrac{2}{9}, \dfrac{4}{9}\right)$, $\left(-\dfrac{2}{9}, \dfrac{4}{9},-\dfrac{2}{9}\right)$, $\left(\dfrac{4}{9}, -\dfrac{2}{9},-\dfrac{2}{9}\right)$, $\left(-\dfrac{4}{9}, -\dfrac{4}{9},-\dfrac{4}{9}\right)$ are the stationary points and $\left(0,-\dfrac{2}{3}, -\dfrac{2}{3}\right)$ is a maximizer.;$\left(0,0,0\right)$, $\left(0,-\dfrac{2}{3}, -\dfrac{2}{3}\right)$, $\left(-\dfrac{2}{3}, 0,-\dfrac{2}{3}\right)$, $\left(-\dfrac{2}{3}, -\dfrac{2}{3},0\right)$, $\left(-\dfrac{2}{9}, -\dfrac{2}{9}, \dfrac{4}{9}\right)$, $\left(-\dfrac{2}{9}, \dfrac{4}{9},-\dfrac{2}{9}\right)$, $\left(\dfrac{4}{9}, -\dfrac{2}{9},-\dfrac{2}{9}\right)$, $\left(-\dfrac{4}{9}, -\dfrac{4}{9},-\dfrac{4}{9}\right)$ are the stationary points and  $\left(-\dfrac{2}{3}, 0,-\dfrac{2}{3}\right)$ is a minimizer.;$\left(0,0,0\right)$, $\left(0,-\dfrac{2}{3}, -\dfrac{2}{3}\right)$, $\left(-\dfrac{2}{3}, 0,-\dfrac{2}{3}\right)$, $\left(-\dfrac{2}{3}, -\dfrac{2}{3},0\right)$, $\left(-\dfrac{2}{9}, -\dfrac{2}{9}, \dfrac{4}{9}\right)$, $\left(-\dfrac{2}{9}, \dfrac{4}{9},-\dfrac{2}{9}\right)$, $\left(\dfrac{4}{9}, -\dfrac{2}{9},-\dfrac{2}{9}\right)$, $\left(-\dfrac{4}{9}, -\dfrac{4}{9},-\dfrac{4}{9}\right)$ are the stationary points and  $\left(-\dfrac{2}{9}, \dfrac{4}{9},-\dfrac{2}{9}\right)$ is a minimizer.;12;Optimization
1957;"Calculate
\[
\lim_{x\to 0^+} \frac{\log x}{\sin x}.
\]";2;$-\infty$;$+\infty$;$0$;$1$;3;Real Functions of a Single Variable
1958;"Calculate
\[
\lim_{x\to +\infty} \frac{x +\sin x}{|\cos x|}
\]";1;$+\infty$;$0$;The limit does not exist;$1$;3;Real Functions of a Single Variable
1959;"Find  the points of local extremum for the function
$f(x,y)=\displaystyle{\sin(x) \sin(y) \sin(x+y)}$, $0\leq x\leq \pi$, $0\leq y\leq \pi$.";1;$\left(\dfrac{\pi}{3}, \dfrac{\pi}{3}\right)$ is the point of maximum and $\left(\dfrac{2\pi}{3}, \dfrac{2\pi}{3}\right)$ is the point of minimum.;$\left(\dfrac{\pi}{3}, \dfrac{\pi}{3}\right)$ is the point of minimum and $\left(\dfrac{2\pi}{3}, \dfrac{2\pi}{3}\right)$ is the point of maximum.;$\left(\dfrac{\pi}{3}, \dfrac{\pi}{3}\right)$, $\left(\dfrac{2\pi}{3}, \dfrac{2\pi}{3}\right)$ are the points of maximum.;$\left(\dfrac{\pi}{3}, \dfrac{\pi}{3}\right)$, $\left(\dfrac{2\pi}{3}, \dfrac{2\pi}{3}\right)$ are the points of minimum.;12;Optimization
1960;"Calculate
\[
\lim_{x\to 1^+} \frac{\log x}{x^3-1}.
\]";1;$1/3$;$+\infty$;$-\infty$;$0$;3;Real Functions of a Single Variable
1961;"Find  the points of local extremum for the function
$f(x,y)=\displaystyle{xy\ln(x^2+y^2)}$.";5;"$\left(\dfrac{1}{\sqrt{2e}}, \dfrac{1}{\sqrt{2e}}\right)$, $\left(-\dfrac{1}{\sqrt{2e}}, -\dfrac{1}{\sqrt{2e}}\right)$ are the points of minimum and $\left(\dfrac{1}{\sqrt{2e}}, -\dfrac{1}{\sqrt{2e}}\right)$, $\left(-\dfrac{1}{\sqrt{2e}}, \dfrac{1}{\sqrt{2e}}\right)$ are the points of maximum.
";$\left(\dfrac{1}{\sqrt{2e}}, \dfrac{1}{\sqrt{2e}}\right)$, $\left(-\dfrac{1}{\sqrt{2e}}, -\dfrac{1}{\sqrt{2e}}\right)$ are the points of maximum and $\left(\dfrac{1}{\sqrt{2e}}, -\dfrac{1}{\sqrt{2e}}\right)$, $\left(-\dfrac{1}{\sqrt{2e}}, \dfrac{1}{\sqrt{2e}}\right)$ are the points of minimum.;$\left(\dfrac{1}{\sqrt{2e}}, \dfrac{1}{\sqrt{2e}}\right)$, $\left(-\dfrac{1}{\sqrt{2e}}, \dfrac{1}{\sqrt{2e}}\right)$  are the points of minimum and $\left(\dfrac{1}{\sqrt{2e}}, -\dfrac{1}{\sqrt{2e}}\right)$, $\left(-\dfrac{1}{\sqrt{2e}}, -\dfrac{1}{\sqrt{2e}}\right)$ are the points of maximum.;$\left(\dfrac{1}{\sqrt{2e}}, \dfrac{1}{\sqrt{2e}}\right)$, $\left(-\dfrac{1}{\sqrt{2e}}, \dfrac{1}{\sqrt{2e}}\right)$  are the points of maximum and $\left(\dfrac{1}{\sqrt{2e}}, -\dfrac{1}{\sqrt{2e}}\right)$, $\left(-\dfrac{1}{\sqrt{2e}}, -\dfrac{1}{\sqrt{2e}}\right)$ are the points of minimum.;12;Optimization
1962;"Calculate
\[
\lim_{x\to 1^-} \frac{x^3-1}{(x-1)^3}.
\]";1;$+\infty$;$-\infty$;$1$;$0$;3;Real Functions of a Single Variable
1963;Find $\displaystyle\int \frac{x^2+5}{x}+x^2e^x dx$.;4;$\displaystyle \frac{x^2}{2}+5\ln|x|+x^2e^x-2xe^x+2e^x+C$;$\displaystyle x^2+5\ln|x|+x^2e^x-2xe^x+2e^x+C$;$\displaystyle \frac{x^2}{2}+5\ln|x|-x^2e^x+2xe^x-2e^x+C$;$\displaystyle x^2e^x-2xe^x+2e^x+C$;5;Integration
1964;"Find  the stationary points and the points of local extremum for the function
$f(x,y)=\displaystyle{2(x^3+y^3)+24xy+13(x^2+y^2)+27}$.";5;$\left(0,0\right)$, $\left(1, -\dfrac{4}{3}\right)$, $\left(-\dfrac{4}{3}, 1\right)$ and $\left(-\dfrac{25}{3}, -\dfrac{25}{3}\right)$ are the stationary points,  $\left(0,0\right)$ is the point of minimum and $\left(-\dfrac{25}{3}, -\dfrac{25}{3}\right)$ is the point of maximum.;$\left(0,0\right)$, $\left(1, -\dfrac{4}{3}\right)$, $\left(-\dfrac{4}{3}, 1\right)$ and $\left(-\dfrac{25}{3}, -\dfrac{25}{3}\right)$ are the stationary points,  $\left(1, -\dfrac{4}{3}\right)$ is the point of minimum and $\left(-\dfrac{4}{3}, 1\right)$ is the point of maximum.;$\left(0,0\right)$, $\left(1, -\dfrac{4}{3}\right)$, $\left(-\dfrac{4}{3}, 1\right)$ and $\left(-\dfrac{25}{3}, -\dfrac{25}{3}\right)$ are the stationary points,  $\left(0,0\right)$ is the point of maximum and $\left(-\dfrac{25}{3}, -\dfrac{25}{3}\right)$ is the point of minimum.;$\left(0,0\right)$, $\left(1, -\dfrac{4}{3}\right)$, $\left(-\dfrac{4}{3}, 1\right)$ and $\left(-\dfrac{25}{3}, -\dfrac{25}{3}\right)$ are the stationary points,  $\left(1, -\dfrac{4}{3}\right)$ is the point of maximum and $\left(-\dfrac{4}{3}, 1\right)$ is the point of minimum.;12;Optimization
1965;Find $\displaystyle \int (x^2+x)3^x dx$.;3;$\displaystyle (x^2+x)\frac{3^x}{\ln(3)}-(2x+1)\frac{3^x}{\ln^2(3)}+2\frac{3^x}{\ln^3(3)}+C$;$\displaystyle (2x+1)\frac{3^x}{\ln(3)}+C$;$\displaystyle (x^2+x)\frac{3^x}{\ln(3)}-(2x+1)\frac{3^x}{\ln(3)}+2\frac{3^x}{\ln(3)}+C$;$\displaystyle -(x^2+x)\frac{3^x}{\ln(3)}+(2x+1)\frac{3^x}{\ln^2(3)}-2\frac{3^x}{\ln^3(3)}+C$;5;Integration
1966;Find  $\displaystyle{\lim\limits_{(x,y)\to (+\infty,2)}\left(1+\dfrac{y}{x}\right)^{xy}}.$;4;$e^4$.;$e^2$.;$1$.;$e$;15;Real Functions of Several Variables
1967;Find $\displaystyle \int x\ln(x) dx$.;4;$\displaystyle \frac{x^2}{2}\ln(x)-\frac{x^2}{4}+ C$;$\displaystyle \frac{x^2}{2}\frac{1}{x}+ C$;$\displaystyle \frac{x^2}{2}-\frac{1}{x}+ C$;$\displaystyle -\frac{x^2}{2}\ln(x)+\frac{x^2}{4}+ C$;5;Integration
1968;Find $\displaystyle{\lim\limits_{(x,y)\to (0,0)}\dfrac{\sqrt{x^2y^2+1}-1}{3-\sqrt{9-x^2-y^2}}}.$;4;$3$.;$1$.;$\dfrac{2}{3}$.;$\dfrac{1}{3}$.;15;Real Functions of Several Variables
1969;"What are the solutions to the following linear system?
$$\left\{\begin{array}{cccccccc}
x & + & y & + & 2z & = & 3\\
x & + & 2y & + & z & = & 1\\
2x & + & y & + & z & = & 0
\end{array}\right.$$";4;The system has a unique solution, which is $(x,y,z)=(-1,0,2)$.;The system has no solutions.;The system has infinitely many solutions, which are $(x-1,x,x+2)$.;The system has a unique solution, which is $(x,y,z)=(0,1,-2)$.;18;Linear Algebra
1970;Find $\ell_1=\lim\limits_{x\to 0}(\lim\limits_{y\to 0}f(x,y)),$ $\ \ell_2=\lim\limits_{y\to 0}(\lim\limits_{x\to 0}f(x,y)),$ and $\ell=\lim\limits_{(x,y)\to (0,0)}f(x,y),$ where  $f(x,y)=\displaystyle{\dfrac{5x^2y}{4x^4+y^2}}$.;5;$\ell_1=\ell_2=0$ and $\ell$ doesn't exist.;$\ell_1=\ell_2=\dfrac{5}{4}$ and $\ell$ doesn't exist.;$\ell_1=\ell_2=\ell=0$.;$\ell_1=\ell_2=\ell=\dfrac{5}{4}$.;15;Real Functions of Several Variables
1971;"What are the solutions of the following linear system?
$$\left\{\begin{array}{cccccccc}
x & + & 2y & - & 3z & = & 4\\
x & + & 3y & - & z & = & 11\\
2x & + & 5y & - & 5z & = & 13\\
x & + & 4y & + & z & = & 18
\end{array}\right.$$";1;The system has a unique solution, which is $(4,3,2)$.;The system has no solutions.;The system has infinitely many solutions, which are $(x,3x-2,z)$ for every $x,z\in\mathbb{R}$.;The system has infinitely many solutions, which are $(x,x,-2x)$ for every $x\in\mathbb{R}$.;18;Linear Algebra
1972;"Find $\ell_1=\lim\limits_{x\to 0}(\lim\limits_{y\to 0}f(x,y)),$ $\ \ell_2=\lim\limits_{y\to 0}(\lim\limits_{x\to 0}f(x,y)),$ and $\ell=\lim\limits_{(x,y)\to (0,0)}f(x,y),$ where
$f(x,y)=\displaystyle{\dfrac{xy^2\,\ln (|x|+|y|)}{x^2+y^2}}$.
";5;$\ell_1=\ell_2=\ell=0$.;$\ell_1=\ell_2=0$ and $\ell$ doesn't exist.;$\ell_1=\ell_2=0$ and $\ell=1$.;$\ell_1=\ell=0$ and $\ell_2$ doesn't exist.;15;Real Functions of Several Variables
1973;"For which values of $m\in\mathbb{R}$ does the following linear system have infinitely many solutions?
$$\left\{\begin{array}{cccccccc}
3x & + & y & - & z & = & 1\\
x & - & 2y & + & 2z & = & m\\
x & + & y & - & z & = & 1\\
\end{array}\right.$$";3;For $m=-2$.;For $m=0,-2$.;For $m=2$.;There is no $m\in\mathbb{R}$ for which the linear system has infinitely many solutions.;18;Linear Algebra
1974;Find the general solution of the equation $\displaystyle{x'''+x''-5x'+3x=e^{-t}}$.;3;$\displaystyle{x=C_1e^{-3t}+C_2e^{t}+C_3te^{t}+\dfrac{1}{8}e^{-t}}$, $C_1, C_2, C_3\in \mathbb{R}$.;$\displaystyle{x=C_1e^{-3t}+C_2e^{t}+C_3te^{t}+\dfrac{7}{8}e^{-t}}$, $C_1, C_2, C_3\in \mathbb{R}$.;$\displaystyle{x=C_1e^{-3t}+C_2te^{-3t}+C_3e^{t}+\dfrac{1}{8}e^{-t}}$, $C_1, C_2, C_3\in \mathbb{R}$.;$\displaystyle{x=C_1e^{-3t}+C_2te^{-3t}+C_3e^{t}+\dfrac{7}{8}e^{-t}}$, $C_1, C_2, C_3\in \mathbb{R}$.;16;Differential Equations
1975;"For which values of $a\in\mathbb{R}$ the following linear system has no solutions?
$$\left\{\begin{array}{cccccccc}
ax & + & (1-a)y & + & (1-a)z & = & a^{2}\\
ax & + & (1+a)y & + & (1+a)z & = & a-a^{2}\\
x & + & y & + & z & = & 1-a
\end{array}\right.$$";2;For $a\neq 0,\dfrac{1}{2}$.;For $a=0,\dfrac{1}{2}$.;For $a\neq 0$.;For every $a\in\mathbb{R}$.;18;Linear Algebra
1976;" Find the general solution of the equation $\displaystyle{x''-2x'-3x=\sin( 2t)}$.
";1;$\displaystyle{x=C_1e^{3t}+C_2e^{-t}+\dfrac{4}{65}\cos( 2t)-\dfrac{7}{65}\sin (2t)}$, $C_1, C_2\in \mathbb{R}$.;$\displaystyle{x=C_1e^{3t}+C_2e^{-t}+\dfrac{4}{65}\cos (2t)}$, $C_1, C_2\in \mathbb{R}$.;$\displaystyle{x=C_1e^{3t}+C_2e^{-t}-\dfrac{4}{65}\sin (2t)}$, $C_1, C_2\in \mathbb{R}$.;$\displaystyle{x=C_1e^{3t}+C_2e^{-t}+\dfrac{4}{65}\sin(2t)-\dfrac{7}{65}\cos(2t)}$, $C_1, C_2\in \mathbb{R}$.;16;Differential Equations
1977;"For which values of $m\in\mathbb{C}$ the following linear system has no solutions?
$$\left\{\begin{array}{cccccccc}
x & - & my & + & m^{2}z & = & m\\
mx & - & m^{2}y & + & mz & = & 1\\
mx & + & y & - & m^{3}z & = & -1
\end{array}\right.$$";2;For $m=0$.;For $m=1,-1$.;For $m\neq 1$.;For $m=0,1,i$.;18;Linear Algebra
1978;"Find the general solution of the equation $\displaystyle{t^2x''-2tx'+2x=t^2+t}$, $t>0$.
";1;$\displaystyle{x=C_1t+C_2t^2+(t^2-t)\ln( t)}$, $C_1, C_2\in \mathbb{R}$.;$\displaystyle{x=C_1t+C_2t^2+(t^2+t)\ln (t)}$, $C_1, C_2\in \mathbb{R}$.;$\displaystyle{x=C_1t+C_2t^2+2t\ln (t)}$, $C_1, C_2\in \mathbb{R}$.;$\displaystyle{x=C_1t+C_2t^2+(t^2+1)\ln (t)}$, $C_1, C_2\in \mathbb{R}$.;16;Differential Equations
1979;"What are the solutions of the following system of equations?
$$\left\{\begin{array}{lllllll}
3x & + & 2y & + & 6z & = & 0\\
4x & + & 5y & + & 12z & = & \ln(2)\\
2x & + & 2y & + & 5z & = & \ln(3)
\end{array}\right.$$";4;The system has a unique solution, which is $(-2\ln(2)+6\ln(3),-3\ln(2)+12\ln(3),2\ln(2)-7\ln(3))$;The system has no solutions.;The system has a unique solution, which is $(2\ln(2)+2\ln(3),4\ln(2)-2\ln(3),0)$.;The system has two solutions, which are $(-2\ln(2)+4\ln(3),-\ln(2)+5\ln(3),0)$ and $(-3\ln(3),3\ln(2),2\ln(2))$.;18;Linear Algebra
1980;"Using the variation of constants method find the general solution of the equation
$\displaystyle{x''+x=\frac{1}{\sin(t)}}$.
";3;$\displaystyle{x=C_1\sin (t)+C_2\cos (t)+\sin (t)\ln|\sin (t)|-t\cos (t)}$, $C_1, C_2\in \mathbb{R}$.;$\displaystyle{x=C_1\sin (t)+C_2\cos (t)+\sin (t)\ln|\sin (t)|+2t\cos (t)}$, $C_1, C_2\in \mathbb{R}$.;$\displaystyle{x=C_1\sin (t)+C_2\cos (t)+\cos (t)\ln|\sin (t)|-t\sin (t)}$, $C_1, C_2\in \mathbb{R}$.;$\displaystyle{x=C_1\sin (t)+C_2\cos (t)+\cos (t)\ln|\sin (t)|+2t\sin (t)}$, $C_1, C_2\in \mathbb{R}$.;16;Differential Equations
1981;"How many solutions does the following linear system have?
$$\left\{\begin{array}{cccccccccc}
x & + & y & + & z & - & 3t & = & 1\\
2x & + & y & - & z & + & t & = & -1
\end{array}\right.$$";1;The system has infinitely many solutions depending on two parameters.;The system has infinitely many solutions depending on one parameter.;The system has no solutions.;The system has a unique solution.;18;Linear Algebra
1982;"Find $\lambda\in\mathbb{R}$ such that the function $f$ be continuous on $\mathbb{R}^2$,
$f(x,y)=\left\{\begin{array}{cl}
\displaystyle{\frac{\ln(1+x^2+y^2)}{x^2+y^2}},& (x,y)\in \mathbb{R}^2\setminus\{(0,0)\}\\
\lambda,& (x,y)=(0,0).
\end{array}\right.$";5;$\lambda=1$.;$\lambda=0$.;There is no $\lambda\in\mathbb{R}$ such that $f$ be continuous on $\mathbb{R}^2$.;$\lambda=\dfrac{1}{2}$.;15;Real Functions of Several Variables
1983;"What are the solutions of the following linear system?
$$\left\{\begin{array}{cccccc}
x & + & 2z & = & 1\\
-y & + & z & = & 2\\
x & - & 2y & = & 1\\
\end{array}\right.$$";3;The system has a unique solution, which is $(x,y,z)=(-1,-1,1)$.;The system has no solutions.;The system has infinitely many solutions, which are $(2-y,y,3+y)$ for every $y\in\mathbb{R}$.;The system has infinitely many solutions, which are $(z,z,-z)$ for every $z\in\mathbb{R}$.;18;Linear Algebra
1984;"Find $\lambda\in\mathbb{R}$ such that the function $f$ be continuous on $\mathbb{R}^2$,
$f(x,y)=\left\{\begin{array}{cl}
\displaystyle{\frac{\sin(xy)}{x^2+y^2}},& (x,y)\in \mathbb{R}^2\setminus\{(0,0)\}\\
\lambda,& (x,y)=(0,0).
\end{array}\right.$";5;There is no $\lambda\in\mathbb{R}$ such that the function $f$ be continuous on $\mathbb{R}^2$.;$\lambda=0$.;$\lambda=1$.;$\lambda=\dfrac{1}{2}$.;15;Real Functions of Several Variables
1985;Find $\displaystyle \int e^{3x}\cos(x) dx$.;2;$\displaystyle\frac{e^{3x}\sin \left(x\right)}{10}+\frac{3e^{3x}\cos \left(x\right)}{10}+C$;$\displaystyle\frac{e^{3x}\sin \left(x\right)}{3}+\frac{e^{3x}\cos \left(x\right)}{3}+C$;$\displaystyle e^{3x}\sin \left(x\right)+3e^{3x}\cos \left(x\right)+C$;$\displaystyle\frac{e^{3x}\sin \left(x\right)}{10}-\frac{3e^{3x}\cos \left(x\right)}{10}+C$;5;Integration
1986;Find the directional derivative of the function $f:\mathbb{R}^{3}\rightarrow\mathbb{R},\ \ f(x,y,z)=xy^{2}-4x^{2}y+z^{2}$ at the point $M(1,-1,2)$ in the direction $\overrightarrow{s}$, where $\overrightarrow{s}$ is the unit vector of $\overrightarrow{v}=6\overrightarrow{i}+2\overrightarrow{j}+3\overrightarrow{k}.$;1;$Df_{\overrightarrow{s}}(1,-1,2)=\frac{54}{7}$;$Df_{\overrightarrow{s}}(1,-1,2)=54$;$Df_{\overrightarrow{s}}(1,-1,2)=\frac{3\sqrt{6}}{7}$;$Df_{\overrightarrow{s}}(1,-1,2)=3\sqrt{6}$;4;Differentiation
1987;Find $\displaystyle \int e^x \sin(2x) dx$.;2;$\displaystyle -\frac{2e^x\cos \left(2x\right)}{5}+\frac{e^x\sin \left(2x\right)}{5}+C$;$\displaystyle \frac{2e^x\cos \left(2x\right)}{5}-\frac{e^x\sin \left(2x\right)}{5}+C$;$\displaystyle -2e^x\cos \left(2x\right)+e^x\sin \left(2x\right)+C$;$\displaystyle 2e^x\cos \left(2x\right)-e^x\sin \left(2x\right)+C$;5;Integration
1988;"Find the partial derivatives $\frac{\partial f}{\partial x}, \frac{\partial f}{\partial y}, \frac{\partial f}{\partial z}$ of the function
$$f:D=\{(x,y,z)\in\mathbb{R}^{3},\,x>0,y>0,z\in\mathbb{R}\}\rightarrow\mathbb{R},\,\,f(x,y,z)=x^{y^{z}}$$ at an arbitrary point.";2;"$\frac{\partial f}{\partial x}=y^{z}\cdot x^{y^{z}-1},$

$\frac{\partial f}{\partial y}=zy^{z-1}\cdot x^{y^{z}}\cdot \ln x,$

$\frac{\partial f}{\partial z}=y^{z}\cdot x^{y^{z}}\cdot \ln x\cdot \ln y.$";"$\frac{\partial f}{\partial x}=y^{z}\cdot x^{y^{z}-1},$

$\frac{\partial f}{\partial y}=y^{z}\cdot x^{y^{z}}\cdot \ln x,$

$\frac{\partial f}{\partial z}=x^{y}\cdot x^{y^{z}}\cdot \ln x.$";"$\frac{\partial f}{\partial x}=y^{z}\cdot x^{y^{z}}\cdot \ln x,$

$\frac{\partial f}{\partial y}=zy^{z-1}\cdot x^{y^{z}}\cdot \ln x,$

$\frac{\partial f}{\partial z}=x^{y}\cdot x^{y^{z}}\cdot \ln x\cdot \ln y.$";"$\frac{\partial f}{\partial x}=z\cdot x^{y^{z-1}},$

$\frac{\partial f}{\partial y}=zy^{z}\cdot x^{y^{z}-1}\cdot \ln x,$

$\frac{\partial f}{\partial z}=y^{z}\cdot x^{y^{z}}\cdot \ln x\cdot \ln y.$";4;Differentiation
1989;Find $\displaystyle \int \frac{x^2-1}{x+3} dx$;4;$\displaystyle \frac{x^2}{2} - 3x +8\ln \left|x+3\right|+C$;$\displaystyle \ln \left|x+3\right|+C$;$\displaystyle \frac{(x-3)^2}{2} +\ln \left|x+3\right|+C$;$\displaystyle \frac{x^2}{2} + 3x +\ln \left|x+3\right|+C$;5;Integration
1990;"The differentiable function $f:\{\,(x,y)\in \mathbb{R}^{2};x\neq 0,\,y>0\}\rightarrow \mathbb{R},$
 $$f(x,y)=y^{\frac{y}{x}}\cdot \sin \left(\dfrac{y}{x}\right)$$ satisfies the equation";1;$x^{2}\cdot \dfrac{\partial f}{\partial x}(x,y)+xy\cdot \dfrac{\partial f}{\partial y}(x,y)=y\cdot f(x,y)$;$x\cdot \dfrac{\partial f}{\partial x}(x,y)+y\cdot \dfrac{\partial f}{\partial y}(x,y)=\dfrac{1}{x}\cdot f(x,y)$;$x^{2}\cdot \dfrac{\partial f}{\partial y}(x,y)+xy\cdot \dfrac{\partial f}{\partial x}(x,y)=xy\cdot f(x,y)$;$xy\cdot \dfrac{\partial f}{\partial x}(x,y)+y\cdot \dfrac{\partial f}{\partial y}(x,y)=y\cdot f(x,y)$;4;Differentiation
1991;Find $\displaystyle \int \frac{x+1}{x^2+1} dx$.;4;$\displaystyle \frac{1}{2}\ln \left|x^2+1\right|+\arctan \left(x\right)+C$;$\displaystyle 2\ln \left|x^2+1\right|+\arctan \left(x\right)+C$;$\displaystyle \ln \left|x^2+1\right|+\frac{1}{2}\arctan \left(x\right)+C$;$\displaystyle 2\ln \left|x^2+1\right|+\frac{1}{2}\arctan \left(x\right)+C$;5;Integration
1992;"If $\varphi$ is a real differentiable function defined on an open subset of $\mathbb{R}^{2},$ then the function
$f(x,y,z)=\varphi(xy,x^{2}+y^{2}-z^{2})$ satisfies the equation";3;$xz\cdot \dfrac{\partial f}{\partial x}-yz\cdot \dfrac{\partial f}{\partial y}+(x^{2}-y^{2})\dfrac{\partial f}{\partial z}=0$ ;$xz\cdot \dfrac{\partial f}{\partial x}+yz\cdot \dfrac{\partial f}{\partial y}+(y^{2}-x^{2})\dfrac{\partial f}{\partial z}=0$ ;$z\cdot \dfrac{\partial f}{\partial x}-z\cdot \dfrac{\partial f}{\partial y}+z(x^{2}-y^{2})\dfrac{\partial f}{\partial z}=0$;$xz\cdot \dfrac{\partial f}{\partial x}-yz\cdot \dfrac{\partial f}{\partial y}+xy\dfrac{\partial f}{\partial z}=0$ ;4;Differentiation
1993;Find $\displaystyle \int \sqrt[3]{1+7x}dx$.;1;$\displaystyle\frac{3}{28}\left(1+7x\right)^{\frac{4}{3}}+C$; $\displaystyle \frac{1}{7}\sqrt{1+7x}+C$; $\displaystyle \frac{1}{7}\sqrt[4]{1+7x}+C$;$\displaystyle\frac{28}{3}\left(1+7x\right)^{\frac{4}{3}}+C$;5;Integration
